P(. | i) 0.014423076923076924
P(a | .) 0.01735357917570499
P(scandal | a) 0.005263157894736842
P(in | scandal) 0.5
P(bohemia | in) 0.023255813953488372
P(sherlock | to) 0.005128205128205128
P(holmes | sherlock) 1.0
P(she | holmes) 0.030303030303030304
P(is | she) 0.08888888888888889
P(always | is) 0.014705882352941176
P(_the_ | always) 0.3333333333333333
P(woman | _the_) 1.0
P(. | woman) 0.2857142857142857
P(i | .) 0.0737527114967462
P(have | i) 0.0625
P(seldom | have) 0.022222222222222223
P(heard | seldom) 0.3333333333333333
P(him | heard) 0.16666666666666666
P(her | mention) 1.0
P(under | her) 0.030303030303030304
P(any | under) 0.14285714285714285
P(other | any) 0.6666666666666666
P(name | other) 0.08333333333333333
P(. | name) 0.2
P(in | .) 0.006507592190889371
P(his | in) 0.046511627906976744
P(eyes | his) 0.061855670103092786
P(she | eyes) 0.1111111111111111
P(eclipses | she) 0.022222222222222223
P(and | eclipses) 1.0
P(the | predominates) 1.0
P(whole | the) 0.005434782608695652
P(of | whole) 0.25
P(her | of) 0.019230769230769232
P(sex | her) 0.030303030303030304
P(. | sex) 1.0
P(it | .) 0.0737527114967462
P(was | it) 0.18181818181818182
P(not | was) 0.0392156862745098
P(that | not) 0.021739130434782608
P(he | that) 0.03614457831325301
P(felt | he) 0.010526315789473684
P(any | felt) 0.5
P(emotion | any) 0.3333333333333333
P(to | akin) 1.0
P(love | to) 0.005128205128205128
P(for | love) 1.0
P(irene | for) 0.027777777777777776
P(adler | irene) 0.6666666666666666
P(. | adler) 0.3333333333333333
P(all | .) 0.0021691973969631237
P(emotions | all) 0.047619047619047616
P(, | emotions) 1.0
P(and | ,) 0.18125
P(that | and) 0.028708133971291867
P(one | that) 0.012048192771084338
P(particularly | one) 0.04
P(, | particularly) 0.5
P(abhorrent | were) 0.05263157894736842
P(to | abhorrent) 1.0
P(his | to) 0.020512820512820513
P(cold | his) 0.010309278350515464
P(, | cold) 0.5
P(precise | ,) 0.0020833333333333333
P(but | precise) 1.0
P(admirably | but) 0.023255813953488372
P(balanced | admirably) 1.0
P(mind | balanced) 1.0
P(. | mind) 0.16666666666666666
P(he | .) 0.03253796095444685
P(, | was) 0.00980392156862745
P(i | ,) 0.05625
P(take | i) 0.004807692307692308
P(it | take) 0.6
P(, | it) 0.05785123966942149
P(the | ,) 0.0125
P(most | the) 0.016304347826086956
P(perfect | most) 0.1
P(reasoning | perfect) 1.0
P(and | reasoning) 0.3333333333333333
P(observing | and) 0.004784688995215311
P(machine | observing) 1.0
P(that | machine) 1.0
P(world | the) 0.002717391304347826
P(has | world) 1.0
P(seen | has) 0.05555555555555555
