P(. | i) 0.008098223615464995
P(a | .) 0.012739855300408933
P(scandal | a) 0.0030153508771929827
P(in | scandal) 0.006221719457013575
P(bohemia | in) 0.01020408163265306
P(sherlock | to) 0.0029745808545159546
P(holmes | sherlock) 0.011877828054298642
P(she | holmes) 0.005293551491819057
P(is | she) 0.0186533212010919
P(always | is) 0.004530477759472817
P(_the_ | always) 0.006186726659167604
P(woman | _the_) 0.006257110352673493
P(. | woman) 0.01155115511551155
P(i | .) 0.05363321799307959
P(have | i) 0.034221525600835946
P(seldom | have) 0.005004549590536852
P(heard | seldom) 0.006186726659167604
P(him | heard) 0.006084070796460177
P(her | mention) 0.006257110352673493
P(under | her) 0.005293551491819057
P(any | under) 0.00605060506050605
P(other | any) 0.011811023622047244
P(name | other) 0.005888650963597431
P(. | name) 0.006117908787541713
P(in | .) 0.004875747090279963
P(his | in) 0.020078999341672153
P(eyes | his) 0.0224429727740986
P(she | eyes) 0.005984766050054407
P(eclipses | she) 0.005004549590536852
P(and | eclipses) 0.006257110352673493
P(the | predominates) 0.006257110352673493
P(whole | the) 0.0038688282977155496
P(of | whole) 0.006152125279642058
P(her | of) 0.010710553814002089
P(sex | her) 0.005293551491819057
P(. | sex) 0.006257110352673493
P(it | .) 0.05363321799307959
P(was | it) 0.07471264367816093
P(not | was) 0.014812138728323697
P(that | not) 0.004981884057971015
P(he | that) 0.012024825446082235
P(felt | he) 0.00407709414381023
P(any | felt) 0.006221719457013575
P(emotion | any) 0.006186726659167604
P(to | akin) 0.011877828054298642
P(love | to) 0.0029745808545159546
P(for | love) 0.006257110352673493
P(irene | for) 0.005218216318785579
P(adler | irene) 0.033188248095756254
P(. | adler) 0.016866158868335146
P(all | .) 0.001730103806228374
P(emotions | all) 0.0056179775280898875
P(, | emotions) 0.006257110352673493
P(and | ,) 0.13301771533292608
P(that | and) 0.015893694632621157
P(one | that) 0.004266873545384018
P(particularly | one) 0.0055055055055055055
P(, | particularly) 0.006221719457013575
P(abhorrent | were) 0.005675954592363261
P(to | abhorrent) 0.006257110352673493
P(his | to) 0.01108707409410492
P(cold | his) 0.004047093451066961
P(, | cold) 0.006221719457013575
P(precise | ,) 0.0016799022602321321
P(but | precise) 0.006257110352673493
P(admirably | but) 0.005050505050505051
P(balanced | admirably) 0.006257110352673493
P(mind | balanced) 0.006257110352673493
P(. | mind) 0.006084070796460177
P(he | .) 0.023749606794589494
P(, | was) 0.003973988439306358
P(i | ,) 0.041386682956627986
P(take | i) 0.0028735632183908046
P(it | take) 0.017241379310344827
P(, | it) 0.024002704530087893
P(the | ,) 0.00931582162492364
P(most | the) 0.011238025055268976
P(perfect | most) 0.005952380952380953
P(reasoning | perfect) 0.006257110352673493
P(and | reasoning) 0.006186726659167604
P(observing | and) 0.00286607608129234
P(machine | observing) 0.006257110352673493
P(that | machine) 0.006257110352673493
P(world | the) 0.0020265291083271927
P(has | world) 0.006257110352673493
P(seen | has) 0.00570539419087137
P(, | seen) 0.006084070796460177
P(but | ,) 0.03222357971899817
P(as | but) 0.009641873278236915
P(a | as) 0.009341637010676156
P(lover | a) 0.0030153508771929827
P(he | lover) 0.006257110352673493
P(would | he) 0.00407709414381023
P(have | would) 0.011064278187565859
P(placed | have) 0.005004549590536852
P(himself | placed) 0.006257110352673493
P(in | himself) 0.006117908787541713
P(a | in) 0.04641211323238973
P(position | false) 0.006221719457013575
P(. | position) 0.006221719457013575
P(never | he) 0.00407709414381023
P(spoke | never) 0.006117908787541713
P(of | spoke) 0.006186726659167604
P(the | of) 0.13087774294670845
P(softer | the) 0.0020265291083271927
P(passions | softer) 0.006257110352673493
P(, | passions) 0.006257110352673493
P(save | ,) 0.003207086133170434
P(with | save) 0.006186726659167604
P(a | with) 0.07808455565142364
P(gibe | a) 0.0030153508771929827
P(a | and) 0.03673788431474726
P(sneer | a) 0.0030153508771929827
P(. | sneer) 0.006257110352673493
P(they | .) 0.01116703365838314
P(were | they) 0.021831735889243874
P(admirable | were) 0.005675954592363261
P(things | admirable) 0.006257110352673493
P(for | things) 0.006186726659167604
P(the | for) 0.04791271347248576
P(observer | the) 0.0020265291083271927
P(excellent | observer) 0.006257110352673493
P(for | excellent) 0.006186726659167604
P(the | drawing) 0.006257110352673493
P(veil | the) 0.0020265291083271927
P(from | veil) 0.006257110352673493
P(men | from) 0.005218216318785579
P(s | men) 0.011425462459194777
P(motives | s) 0.005735140771637122
P(and | motives) 0.006257110352673493
P(actions | and) 0.00286607608129234
P(. | actions) 0.006257110352673493
P(but | .) 0.009594212016357346
P(for | but) 0.005050505050505051
P(trained | the) 0.0020265291083271927
P(to | reasoner) 0.006186726659167604
P(admit | to) 0.0029745808545159546
P(such | admit) 0.006257110352673493
P(intrusions | such) 0.006017505470459519
P(into | intrusions) 0.006257110352673493
P(his | into) 0.015672396359959553
P(own | his) 0.015084621044885943
P(delicate | own) 0.005765199161425576
P(and | delicate) 0.006186726659167604
P(finely | and) 0.00286607608129234
P(temperament | adjusted) 0.006221719457013575
P(was | temperament) 0.006257110352673493
P(to | was) 0.007586705202312138
P(introduce | to) 0.0029745808545159546
P(a | introduce) 0.006257110352673493
P(distracting | a) 0.0030153508771929827
P(factor | distracting) 0.006257110352673493
P(which | factor) 0.006221719457013575
P(might | which) 0.005027422303473492
P(a | throw) 0.006152125279642058
P(doubt | a) 0.005756578947368421
P(upon | doubt) 0.006117908787541713
P(all | upon) 0.005589430894308943
P(his | all) 0.0056179775280898875
P(mental | his) 0.004047093451066961
P(results | mental) 0.006257110352673493
P(. | results) 0.006257110352673493
P(grit | .) 0.001730103806228374
P(in | grit) 0.006257110352673493
P(sensitive | a) 0.0030153508771929827
P(, | instrument) 0.006257110352673493
P(or | ,) 0.013897373243738546
P(a | or) 0.010780287474332649
P(crack | a) 0.0030153508771929827
P(in | crack) 0.006257110352673493
P(one | in) 0.0069124423963133645
P(of | one) 0.040540540540540536
P(his | of) 0.04205851619644723
P(high | own) 0.005765199161425576
P(power | high) 0.006221719457013575
P(lenses | power) 0.006221719457013575
P(, | lenses) 0.006257110352673493
P(would | ,) 0.0016799022602321321
P(not | would) 0.011064278187565859
P(more | be) 0.004959422903516682
P(disturbing | more) 0.005984766050054407
